"adjxRank","adjxDif","Rank","Team","MP","W","D","L","G","GA","GD","PTS","adjxG","adjxGA","adjxGD","adjxPTS"
1,0,1,"Feyenoord",9,8,1,0,25,6,19,25,19.9,6,13.9,20.1
2,0,2,"PSV Eindhoven",9,7,1,1,27,12,15,22,23.6,11.5,12.1,19
3,1,4,"Ajax",9,4,4,1,17,12,5,16,17.7,11.2,6.5,16.6
4,3,7,"FC Twente",9,4,2,3,17,14,3,14,14.8,9.5,5.3,15.6
5,1,6,"NEC Nijmegen",9,4,2,3,25,17,8,14,16.5,11.3,5.2,15.6
6,5,11,"SC Heerenveen",9,3,3,3,15,15,0,12,18,13.1,4.9,15.4
7,-4,3,"AZ Alkmaar",9,5,3,1,19,12,7,18,16.7,10.7,6,15.2
8,-3,5,"FC Groningen",9,5,0,4,14,13,1,15,13.5,11.3,2.2,14.2
9,-1,8,"Utrecht",9,4,1,4,18,11,7,13,14.8,13,1.8,14.1
10,6,16,"Telstar",9,2,1,6,12,18,-6,7,15.1,17.5,-2.4,11.5
11,1,12,"Go Ahead Eagles",9,2,4,3,15,16,-1,10,13.7,18,-4.3,10.6
12,1,13,"Excelsior",9,3,0,6,8,17,-9,9,12.8,17.7,-4.9,9.8
13,-4,9,"Fortuna Sittard",9,4,1,4,13,13,0,13,9.9,14.9,-5,9.5
14,-4,10,"Sparta Rotterdam",9,4,1,4,13,22,-9,13,11.5,16.6,-5.1,9.5
15,-1,14,"NAC Breda",9,2,2,5,10,16,-6,8,10.7,17.8,-7.1,9
16,-1,15,"PEC Zwolle",9,2,2,5,9,17,-8,8,9.5,17.1,-7.6,8.1
17,0,17,"FC Volendam",9,1,4,4,10,16,-6,7,8.9,15.9,-7,8
18,0,18,"Heracles Almelo",9,1,0,8,7,27,-20,3,7.3,22.1,-14.8,4.7
