"npxRank","npxDif","Rank","Team","MP","W","D","L","G","GA","GD","PTS","npxG","npxGA","npxGD","npxPTS"
1,0,1,"Feyenoord",9,8,1,0,25,6,19,25,19.3,5.4,13.9,20
2,0,2,"PSV Eindhoven",9,7,1,1,27,12,15,22,22,10.6,11.4,18.8
3,1,4,"Ajax",9,4,4,1,17,12,5,16,17.2,10.3,6.9,16.4
4,3,7,"FC Twente",9,4,2,3,17,14,3,14,15.3,8.7,6.6,15.5
5,1,6,"NEC Nijmegen",9,4,2,3,25,17,8,14,15.3,10.4,4.9,15.5
6,5,11,"SC Heerenveen",9,3,3,3,15,15,0,12,17.5,12.1,5.4,15.3
7,-4,3,"AZ Alkmaar",9,5,3,1,19,12,7,18,16.3,9.8,6.5,15.1
8,-3,5,"FC Groningen",9,5,0,4,14,13,1,15,12.5,10.4,2.1,14.1
9,-1,8,"Utrecht",9,4,1,4,18,11,7,13,13.7,12,1.7,14
10,6,16,"Telstar",9,2,1,6,12,18,-6,7,14,16.2,-2.2,11.4
11,1,12,"Go Ahead Eagles",9,2,4,3,15,16,-1,10,12.7,16.7,-4,10.6
12,1,13,"Excelsior",9,3,0,6,8,17,-9,9,11.8,16.4,-4.6,9.8
13,-4,9,"Fortuna Sittard",9,4,1,4,13,13,0,13,9.1,13.8,-4.7,9.5
14,-4,10,"Sparta Rotterdam",9,4,1,4,13,22,-9,13,10.6,15.4,-4.8,9.5
15,-1,14,"NAC Breda",9,2,2,5,10,16,-6,8,10.6,16.5,-5.9,9
16,-1,15,"PEC Zwolle",9,2,2,5,9,17,-8,8,8.7,15.9,-7.2,8.1
17,0,17,"FC Volendam",9,1,4,4,10,16,-6,7,8.2,14.7,-6.5,8
18,0,18,"Heracles Almelo",9,1,0,8,7,27,-20,3,6.7,20.6,-13.9,4.8
