"Team","GW10","GW11","GW12","GW13","GW14","GW15","GW16","GW17","GW18","GW19","GW20","GW21","GW22","GW23","GW24","GW25","GW26","GW27","GW28","GW29","GW30","GW31","GW32","GW33","GW34"
"AJA","twe (a)","HEE (H)","utr (a)","EXC (H)","GRO (H)","for (a)","FEY (H)","nec (a)","tel (a)","GAE (H)","VOL (H)","exc (a)","az (a)","FOR (H)","NEC (H)","pec (a)","gro (a)","SPA (H)","fey (a)","TWE (H)","her (a)","nac (a)","PSV (H)","UTR (H)","hee (a)"
"AZ","UTR (H)","spa (a)","PSV (H)","hee (a)","twe (a)","GAE (H)","EXC (H)","for (a)","VOL (H)","pec (a)","tel (a)","NEC (H)","AJA (H)","exc (a)","SPA (H)","utr (a)","psv (a)","HER (H)","gro (a)","FOR (H)","HEE (H)","gae (a)","TWE (H)","fey (a)","NAC (H)"
"EXC","gae (a)","tel (a)","HER (H)","aja (a)","NAC (H)","GRO (H)","az (a)","PEC (H)","psv (a)","TEL (H)","twe (a)","AJA (H)","nac (a)","AZ (H)","for (a)","GAE (H)","HEE (H)","fey (a)","her (a)","NEC (H)","pec (a)","UTR (H)","gro (a)","VOL (H)","spa (a)"
"FEY","PSV (H)","VOL (H)","gae (a)","NEC (H)","tel (a)","PEC (H)","aja (a)","TWE (H)","hee (a)","SPA (H)","HER (H)","psv (a)","utr (a)","GAE (H)","TEL (H)","twe (a)","nac (a)","EXC (H)","AJA (H)","vol (a)","nec (a)","GRO (H)","for (a)","AZ (H)","pec (a)"
"FOR","GRO (H)","psv (a)","HEE (H)","spa (a)","HER (H)","AJA (H)","pec (a)","AZ (H)","gae (a)","PSV (H)","gro (a)","her (a)","SPA (H)","aja (a)","EXC (H)","nec (a)","TEL (H)","vol (a)","TWE (H)","az (a)","NAC (H)","hee (a)","FEY (H)","PEC (H)","utr (a)"
"GAE","EXC (H)","nac (a)","FEY (H)","her (a)","UTR (H)","az (a)","twe (a)","GRO (H)","FOR (H)","aja (a)","HEE (H)","vol (a)","TEL (H)","fey (a)","HER (H)","exc (a)","TWE (H)","NAC (H)","utr (a)","PEC (H)","gro (a)","AZ (H)","spa (a)","PSV (H)","nec (a)"
"GRO","for (a)","TWE (H)","nec (a)","PEC (H)","aja (a)","exc (a)","VOL (H)","gae (a)","NAC (H)","hee (a)","FOR (H)","spa (a)","PSV (H)","UTR (H)","twe (a)","vol (a)","AJA (H)","pec (a)","AZ (H)","tel (a)","GAE (H)","fey (a)","EXC (H)","NEC (H)","her (a)"
"HEE","NAC (H)","aja (a)","for (a)","AZ (H)","pec (a)","PSV (H)","spa (a)","her (a)","FEY (H)","GRO (H)","gae (a)","UTR (H)","twe (a)","PEC (H)","psv (a)","SPA (H)","exc (a)","TEL (H)","nec (a)","HER (H)","az (a)","FOR (H)","vol (a)","nac (a)","AJA (H)"
"HER","vol (a)","PEC (H)","exc (a)","GAE (H)","for (a)","TEL (H)","psv (a)","HEE (H)","spa (a)","TWE (H)","fey (a)","FOR (H)","nec (a)","NAC (H)","gae (a)","PSV (H)","UTR (H)","az (a)","EXC (H)","hee (a)","AJA (H)","VOL (H)","pec (a)","tel (a)","GRO (H)"
"NAC","hee (a)","GAE (H)","vol (a)","PSV (H)","exc (a)","spa (a)","UTR (H)","TEL (H)","gro (a)","NEC (H)","psv (a)","TWE (H)","EXC (H)","her (a)","VOL (H)","tel (a)","FEY (H)","gae (a)","pec (a)","SPA (H)","for (a)","AJA (H)","utr (a)","HEE (H)","az (a)"
"NEC","pec (a)","utr (a)","GRO (H)","fey (a)","SPA (H)","vol (a)","tel (a)","AJA (H)","UTR (H)","nac (a)","PEC (H)","az (a)","HER (H)","spa (a)","aja (a)","FOR (H)","VOL (H)","psv (a)","HEE (H)","exc (a)","FEY (H)","twe (a)","TEL (H)","gro (a)","GAE (H)"
"PEC","NEC (H)","her (a)","SPA (H)","gro (a)","HEE (H)","fey (a)","FOR (H)","exc (a)","twe (a)","AZ (H)","nec (a)","TEL (H)","VOL (H)","hee (a)","utr (a)","AJA (H)","spa (a)","GRO (H)","NAC (H)","gae (a)","EXC (H)","psv (a)","HER (H)","for (a)","FEY (H)"
"PSV","fey (a)","FOR (H)","az (a)","nac (a)","VOL (H)","hee (a)","HER (H)","utr (a)","EXC (H)","for (a)","NAC (H)","FEY (H)","gro (a)","vol (a)","HEE (H)","her (a)","AZ (H)","NEC (H)","tel (a)","UTR (H)","spa (a)","PEC (H)","aja (a)","gae (a)","TWE (H)"
"SPA","TEL (H)","AZ (H)","pec (a)","FOR (H)","nec (a)","NAC (H)","HEE (H)","vol (a)","HER (H)","fey (a)","utr (a)","GRO (H)","for (a)","NEC (H)","az (a)","hee (a)","PEC (H)","aja (a)","VOL (H)","nac (a)","PSV (H)","tel (a)","GAE (H)","twe (a)","EXC (H)"
"TEL","spa (a)","EXC (H)","twe (a)","UTR (H)","FEY (H)","her (a)","NEC (H)","nac (a)","AJA (H)","exc (a)","AZ (H)","pec (a)","gae (a)","TWE (H)","fey (a)","NAC (H)","for (a)","hee (a)","PSV (H)","GRO (H)","utr (a)","SPA (H)","nec (a)","HER (H)","vol (a)"
"TWE","AJA (H)","gro (a)","TEL (H)","vol (a)","AZ (H)","utr (a)","GAE (H)","fey (a)","PEC (H)","her (a)","EXC (H)","nac (a)","HEE (H)","tel (a)","GRO (H)","FEY (H)","gae (a)","UTR (H)","for (a)","aja (a)","VOL (H)","NEC (H)","az (a)","SPA (H)","psv (a)"
